ENC	GENERO	AMBITO	REGION	EDAD	NIVEL	DISTRITO	PA	PB	P20	PESO2	REGION2
2988098	Femenino	Rural	Sierra Norte	De 18 a 25	C	BAMBAMARCA	Cajamarca	0	0	0,029980000000000	Norte
2988099	Femenino	Rural	Sierra Norte	De 26 a 42	C	BAMBAMARCA	Cajamarca	0	0	0,029980000000000	Norte
2988100	Femenino	Rural	Sierra Norte	De 26 a 42	C	BAMBAMARCA	Cajamarca	0	0	0,029980000000000	Norte
2988101	Femenino	Rural	Sierra Norte	De 43 a más	C	BAMBAMARCA	Cajamarca	0	0	0,029980000000000	Norte
2988103	Femenino	Urbano	Costa Norte	De 26 a 42	D	PIURA	Piura	0	0	1,593514800000000	Norte
2988105	Femenino	Urbano	Costa Norte	De 18 a 25	B	CHULUCANAS	Piura	0	0	0,687797400000000	Norte
2988107	Femenino	Rural	Sierra Norte	De 43 a más	C	BAMBAMARCA	Cajamarca	0	0	0,029980000000000	Norte
2988115	Masculino	Urbano	Costa Norte	De 26 a 42	B	CHULUCANAS	Piura	0	0	0,687797400000000	Norte
2988116	Femenino	Urbano	Sierra Sur	De 18 a 25	C	ANDAHUAYLAS	Apurímac	0	0	1,432073600000000	Sur
2988130	Femenino	Urbano	Sierra Sur	De 43 a más	E	PUNO	Puno	0	0	0,861575700000000	Sur
2988131	Femenino	Urbano	Sierra Sur	De 26 a 42	D	PUNO	Puno	0	0	1,128476000000000	Sur
2988135	Masculino	Rural	Sierra Sur	De 26 a 42	E	COTAHUASI	Arequipa	0	0	2,078454000000000	Sur
2988136	Femenino	Rural	Sierra Sur	De 43 a más	C	COTAHUASI	Arequipa	0	0	0,169093700000000	Sur
2988145	Femenino	Urbano	Sierra Sur	De 43 a más	D	ANDAHUAYLAS	Apurímac	0	0	1,128476000000000	Sur
2988147	Masculino	Rural	Sierra Sur	De 43 a más	E	COTAHUASI	Arequipa	0	0	2,078454000000000	Sur
