NOMCCPP	LONGITUDX	LATITUDY
CHIMBOTE	-78,58381252	-9,075169633
CHIMBOTE	-78,58381252	-9,075169633
CHIMBOTE	-78,58381252	-9,075169633
CHIMBOTE	-78,58381252	-9,075169633
CHIMBOTE	-78,58381252	-9,075169633
CHIMBOTE	-78,58381252	-9,075169633
CHIMBOTE	-78,58381252	-9,075169633
CHIMBOTE	-78,58381252	-9,075169633
CHIMBOTE	-78,58086815	-9,078374621
CHIMBOTE	-78,58086815	-9,078374621
CHIMBOTE	-78,58086815	-9,078374621
CHIMBOTE	-78,58086815	-9,078374621
CHIMBOTE	-78,58086815	-9,078374621
CHIMBOTE	-78,58086815	-9,078374621
CHIMBOTE	-78,58086815	-9,078374621
CHIMBOTE	-78,58086815	-9,078374621
CHIMBOTE	-78,58086815	-9,078374621
CHIMBOTE	-78,58086815	-9,078374621
CHIMBOTE	-78,56646861	-9,076444573
CHIMBOTE	-78,56646861	-9,076444573
CHIMBOTE	-78,56646861	-9,076444573
CHIMBOTE	-78,56646861	-9,076444573
CHIMBOTE	-78,56646861	-9,076444573
CHIMBOTE	-78,56646861	-9,076444573
CHIMBOTE	-78,56646861	-9,076444573
CHIMBOTE	-78,56646861	-9,076444573
CHIMBOTE	-78,56646861	-9,076444573
CHIMBOTE	-78,56646861	-9,076444573
CHIMBOTE	-78,5616609	-9,086690612
CHIMBOTE	-78,5616609	-9,086690612
CHIMBOTE	-78,5616609	-9,086690612
CHIMBOTE	-78,5616609	-9,086690612
CHIMBOTE	-78,5616609	-9,086690612
CHIMBOTE	-78,5616609	-9,086690612
CHIMBOTE	-78,5616609	-9,086690612
CHIMBOTE	-78,5616609	-9,086690612
CHIMBOTE	-78,5616609	-9,086690612
CHIMBOTE	-78,5616609	-9,086690612
CHIMBOTE	-78,5616609	-9,086690612
CHIMBOTE	-78,5636855	-9,087552432
CHIMBOTE	-78,5636855	-9,087552432
CHIMBOTE	-78,5636855	-9,087552432
